case_id,suite,execution_set,priority,category,subcategory,language,conversation_type,role,user_ref,household_ref,label_source,acceptable_tools,turn_1,turn_2,turn_3,expected_facts,forbidden_content,expected_citations,expected_tool,expected_behavior,as_of,label_source_resolved
V2-QA-0001,질문→답변 품질 v2,Smoke,P2,관리규약 조항,제5조(전용부분 및 공용부분의 범위),한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,doc-clause:첫마을4단지 관리규약:제5조(전용부분 및 공용부분의 범위),,"승강기는 전용부분인가요, 공용부분인가요?",지하주차장은요?,,주거공용부분 승강기 계단 현관,,542d3f8b-25ad-4008-8875-bff722562d5d#제5조(전용부분 및 공용부분의 범위),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제5조(전용부분 및 공용부분의 범위)
V2-QA-0002,질문→답변 품질 v2,Smoke,P2,관리규약 조항,제3조(용어 정의),한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,doc-clause:첫마을4단지 관리규약:제3조(용어 정의),,규약에서 입주자와 사용자는 어떻게 다른가요?,,,소유자 배우자 직계 임차,,542d3f8b-25ad-4008-8875-bff722562d5d#제3조(용어 정의),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제3조(용어 정의)
V2-QA-0003,질문→답변 품질 v2,Critical,P2,관리규약 조항,제12조(의결권 행사),한국어,다중 턴,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,doc-clause:첫마을4단지 관리규약:제12조(의결권 행사),,한 세대가 의결권을 몇 개 가지나요?,공유 세대는 어떻게 하나요?,,1세대 하나 의결권 서면,,542d3f8b-25ad-4008-8875-bff722562d5d#제12조(의결권 행사),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제12조(의결권 행사)
V2-QA-0004,질문→답변 품질 v2,Critical,P2,관리규약 조항,제13조(입주자 등의 의무),한국어,단일,RESIDENT,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,doc-clause:첫마을4단지 관리규약:제13조(입주자 등의 의무),,관리사무소가 점검하러 우리 집에 들어오겠다는데 거부할 수 있나요?,,,전유부분 출입 특별한 사유 거부,,542d3f8b-25ad-4008-8875-bff722562d5d#제13조(입주자 등의 의무),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제13조(입주자 등의 의무)
V2-QA-0005,질문→답변 품질 v2,Critical,P2,관리규약 조항,제15조(배상책임 등),한국어,단일,RESIDENT,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,doc-clause:첫마을4단지 관리규약:제15조(배상책임 등),,우리 집 누수로 아랫집에 피해를 줬는데 책임은 어떻게 되나요?,,,누수 손해 배상 원상,,542d3f8b-25ad-4008-8875-bff722562d5d#제15조(배상책임 등),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제15조(배상책임 등)
V2-QA-0006,질문→답변 품질 v2,Critical,P2,관리규약 조항,제16조(권리․의무의 승계),한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,doc-clause:첫마을4단지 관리규약:제16조(권리․의무의 승계),,전에 살던 사람이 밀린 관리비는 누가 내야 하나요?,,,체납 승계 부담,,542d3f8b-25ad-4008-8875-bff722562d5d#제16조(권리․의무의 승계),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제16조(권리․의무의 승계)
V2-QA-0007,질문→답변 품질 v2,Critical,P2,관리규약 조항,제17조(동별 대표자의 선출),한국어,다중 턴,RESIDENT,4370e4d1-5887-400d-a9d1-ebc3cf2aaace,405-1303,doc-clause:첫마을4단지 관리규약:제17조(동별 대표자의 선출),,동별 대표자는 총 몇 명을 뽑나요?,우리 동 세대수는요?,,선거구 5명 401동 405동,,542d3f8b-25ad-4008-8875-bff722562d5d#제17조(동별 대표자의 선출),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제17조(동별 대표자의 선출)
V2-QA-0008,질문→답변 품질 v2,Critical,P2,관리규약 조항,제18조(동별 대표자의 임기),한국어,단일,RESIDENT,117f0ee5-9cd0-4e73-aca7-8a5d85a919fe,404-403,doc-clause:첫마을4단지 관리규약:제18조(동별 대표자의 임기),,동별 대표자 임기는 몇 년인가요?,,,임기 2년 중임,,542d3f8b-25ad-4008-8875-bff722562d5d#제18조(동별 대표자의 임기),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제18조(동별 대표자의 임기)
V2-QA-0009,질문→답변 품질 v2,Critical,P2,관리규약 조항,제19조(임원의 구성),한국어,단일,RESIDENT,a034c6b2-d31d-485b-878c-f902a3b74f7a,405-301,doc-clause:첫마을4단지 관리규약:제19조(임원의 구성),,입주자대표회의 임원은 어떻게 구성되나요?,,,회장 1인 감사 2인 이사,,542d3f8b-25ad-4008-8875-bff722562d5d#제19조(임원의 구성),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제19조(임원의 구성)
V2-QA-0010,질문→답변 품질 v2,Critical,P2,관리규약 조항,제21조(보궐선거),한국어,단일,RESIDENT,457c5006-a8fc-45c0-bd61-e6f363b8103f,404-1502,doc-clause:첫마을4단지 관리규약:제21조(보궐선거),,동별 대표자가 사퇴하면 언제까지 다시 뽑아야 하나요?,,,60일 이내 잔여기간,,542d3f8b-25ad-4008-8875-bff722562d5d#제21조(보궐선거),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제21조(보궐선거)
V2-QA-0011,질문→답변 품질 v2,Critical,P2,관리규약 조항,제23조(회의개최),한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,doc-clause:첫마을4단지 관리규약:제23조(회의개최),,입주자대표회의 정기회의는 얼마나 자주 열리나요?,임시회의는 언제 열리나요?,,정기회의 매월 1회 임시회의,,542d3f8b-25ad-4008-8875-bff722562d5d#제23조(회의개최),search_documents,answered,,content_chunks doc=542d3f8b-25ad-4008-8875-bff722562d5d clause=제23조(회의개최)
